make,brand_group,brand_tier,notes
Acura,Luxury Japanese,Premium,
Alfa Romeo,Other Luxury,Premium,
Aston Martin,Other Luxury,Ultra luxury,
Audi,Luxury German,Luxury,
BMW,Luxury German,Luxury,
Bentley,Other Luxury,Ultra luxury,
Bugatti,Other Luxury,Ultra luxury,
Bugatti Rimac,EV specialist,Ultra luxury,Joint venture that builds the electric Nevera
Buick,Mainstream American,Premium,
Cadillac,Other Luxury,Luxury,
Chevrolet,Mainstream American,Mainstream,
Chrysler,Mainstream American,Mainstream,
Dodge,Mainstream American,Mainstream,
Ferrari,Other Luxury,Ultra luxury,
Fiat,Mainstream European,Mainstream,
Ford,Mainstream American,Mainstream,
GMC,Mainstream American,Mainstream,
Genesis,Other Luxury,Premium,
Honda,Mainstream Japanese,Mainstream,
Hyundai,Mainstream Korean,Mainstream,
INEOS Automotive,Other Luxury,Luxury,
Infiniti,Luxury Japanese,Premium,
Jaguar,Other Luxury,Luxury,
Jeep,Mainstream American,Mainstream,
Kia,Mainstream Korean,Mainstream,
Lamborghini,Other Luxury,Ultra luxury,
Land Rover,Other Luxury,Luxury,
Lexus,Luxury Japanese,Luxury,
Lincoln,Other Luxury,Premium,
Lotus,Other Luxury,Ultra luxury,
Lucid,EV specialist,Luxury,
MINI,Mainstream European,Premium,
Maserati,Other Luxury,Ultra luxury,
Mazda,Mainstream Japanese,Mainstream,
Mercedes-Benz,Luxury German,Luxury,
Mini,Mainstream European,Premium,Duplicate casing used by some source records
Mitsubishi,Mainstream Japanese,Mainstream,
Nissan,Mainstream Japanese,Mainstream,
Polestar,EV specialist,Premium,
Porsche,Luxury German,Luxury,
Ram,Mainstream American,Mainstream,
Rivian,EV specialist,Luxury,
Rolls-Royce,Other Luxury,Ultra luxury,
Subaru,Mainstream Japanese,Mainstream,
Tesla,EV specialist,Premium,
Toyota,Mainstream Japanese,Mainstream,
Vinfast,EV specialist,Mainstream,
Volkswagen,Mainstream European,Mainstream,
Volvo,Mainstream European,Premium,
